"id","date_insert","year","month","day","hour","sensor_id","lat","lng","wtempV_°C","conductivity_of_solution_ mS_cm","oxidation_reduction_potential_ mV","total_suspended_solids_mg_L","turbidity_NTU","dissolved_oxygen_concentration _ppm","dissolved_oxygen_concentration_mg_L","oxygen_saturation_%","salinity_ppt","dissolved_solids _ppm"
67,"2025-07-03 22:00:00",2025,7,3,22,977,"38.328212","21.876467",24.33,55522.90,-172.23,134.45,87.95,6.45,6.45,77.00,36.95,36206.48
68,"2025-07-03 22:00:00",2025,7,3,22,978,"38.331904","21.842924",23.44,56398.68,-51.92,39.15,20.22,8.12,8.12,95.55,37.65,36777.58
69,"2025-07-03 22:00:00",2025,7,3,22,979,"38.317789","21.818416",24.04,59794.00,276.80,802.52,465.27,6.09,6.09,72.48,40.40,38991.67
70,"2025-07-03 22:00:00",2025,7,3,22,980,"38.30971","21.779349",22.95,62114.49,90.68,102.03,67.58,4.45,4.45,51.71,42.30,40504.86
71,"2025-07-03 22:00:00",2025,7,3,22,981,"38.292904","21.766819",22.24,82533.79,294.47,5.85,0.77,5.06,5.06,57.96,59.79,53820.29
72,"2025-07-03 22:00:00",2025,7,3,22,982,"38.28469","21.759148",22.98,15583.65,282.59,1162.26,529.56,3.99,3.99,46.55,9.09,9010.47
73,"2025-07-03 22:00:00",2025,7,3,22,983,"38.282368","21.754868",23.14,15745.01,280.85,35.10,20.58,10.00,10.00,116.87,9.19,9103.76
74,"2025-07-03 22:00:00",2025,7,3,22,984,"38.183667","21.678139",23.92,52856.18,305.18,43.79,28.69,7.41,7.41,87.06,34.85,34467.52
75,"2025-07-03 23:00:00",2025,7,3,23,976,"38.310409","21.784038",24.23,57045.85,-176.87,74.90,44.46,7.64,7.64,91.03,38.17,37199.60
76,"2025-07-03 23:00:00",2025,7,3,23,977,"38.328212","21.876467",24.23,55901.46,-170.11,147.72,94.70,6.49,6.49,77.38,37.25,36453.34
77,"2025-07-03 23:00:00",2025,7,3,23,978,"38.331904","21.842924",23.34,56374.12,-55.08,39.35,19.97,7.66,7.66,90.00,37.63,36761.57
