,Unnamed: 0,id,date_insert,sensor_id,wtempV_°C,conductivity_of_solution_ mS_cm,oxidation_reduction_potential_ mV,total_suspended_solids_mg_L,turbidity_NTU,dissolved_oxygen_concentration _ppm,dissolved_oxygen_concentration_mg_L,oxygen_saturation_%,salinity_ppt,dissolved_solids _ppm,location,Water_Quality_Label
9799,16491,16492.0,2025-10-02 03:00:00,979,22.97,58213.76,-106.04,77.21,48.22,5.48,5.48,63.79,39.11,37961.2,Άγιος Βασίλης,Medium
9805,16500,16501.0,2025-10-02 04:00:00,979,22.98,58229.54,-106.22,79.4,48.65,5.52,5.52,64.16,39.12,37971.48,Άγιος Βασίλης,Medium
9811,16509,16510.0,2025-10-02 05:00:00,979,23.0,58261.16,-105.89,80.66,49.09,5.56,5.56,64.71,39.15,37992.11,Άγιος Βασίλης,Medium
9817,16518,16519.0,2025-10-02 06:00:00,979,23.16,58235.43,-105.25,78.9,47.36,5.51,5.51,64.24,39.13,37975.32,Άγιος Βασίλης,Medium
9823,16527,16528.0,2025-10-02 07:00:00,979,23.25,58228.78,-104.79,76.03,46.31,5.51,5.51,64.58,39.12,37970.99,Άγιος Βασίλης,Medium
9829,16536,16537.0,2025-10-02 08:00:00,979,23.37,58195.34,-106.98,74.05,45.91,5.52,5.52,64.64,39.1,37949.18,Άγιος Βασίλης,Medium
9835,16545,16546.0,2025-10-02 09:00:00,979,23.46,58387.46,-104.65,74.08,46.84,5.49,5.49,64.6,39.25,38074.46,Άγιος Βασίλης,Medium
9841,16554,16555.0,2025-10-02 10:00:00,979,23.39,58112.8,-100.07,77.49,49.05,5.63,5.63,66.07,39.03,37895.36,Άγιος Βασίλης,Medium
9847,16563,16564.0,2025-10-02 11:00:00,979,23.2,58019.63,-92.46,78.41,50.14,5.74,5.74,67.14,38.95,37834.61,Άγιος Βασίλης,Medium
9861,16620,16621.0,2025-10-02 18:00:00,979,23.95,58034.85,-77.6,104.91,66.98,5.44,5.44,64.48,38.97,37844.53,Άγιος Βασίλης,Medium
9867,16638,16639.0,2025-10-02 20:00:00,979,23.98,58105.1,-74.46,111.31,69.38,5.25,5.25,62.47,39.02,37890.34,Άγιος Βασίλης,Medium
9874,16665,16666.0,2025-10-02 23:00:00,979,23.91,58285.35,-57.38,114.57,92.36,5.28,5.28,62.74,39.17,38007.88,Άγιος Βασίλης,Medium
9879,16679,16680.0,2025-10-03 01:00:00,979,23.51,58170.7,-54.22,136.41,89.83,5.3,5.3,62.48,39.08,37933.12,Άγιος Βασίλης,Medium
9892,16926,16927.0,2025-10-11 12:00:00,979,22.94,58016.43,-24.32,343.05,200.72,5.56,5.56,64.68,38.95,37832.51,Άγιος Βασίλης,Medium
9898,16934,16935.0,2025-10-11 13:00:00,979,23.2,58067.06,-19.97,347.56,202.49,5.84,5.84,68.41,38.99,37865.53,Άγιος Βασίλης,Medium
9904,16942,16943.0,2025-10-11 14:00:00,979,23.24,57935.37,-26.03,381.18,219.55,5.86,5.86,68.6,38.89,37779.66,Άγιος Βασίλης,Medium
9910,16950,16951.0,2025-10-11 15:00:00,979,23.21,58023.4,-42.33,413.24,236.16,5.84,5.84,68.48,38.96,37837.06,Άγιος Βασίλης,Medium
9916,16958,16959.0,2025-10-11 16:00:00,979,23.14,57945.91,-49.51,419.33,239.21,5.83,5.83,68.2,38.89,37786.53,Άγιος Βασίλης,Medium
9922,16966,16967.0,2025-10-11 17:00:00,979,22.87,57994.86,-51.82,434.52,247.73,5.73,5.73,66.67,38.93,37818.45,Άγιος Βασίλης,Medium
9928,16974,16975.0,2025-10-11 18:00:00,979,22.77,58008.16,-68.64,446.37,256.82,5.43,5.43,62.92,38.95,37827.13,Άγιος Βασίλης,Medium
9934,16982,16983.0,2025-10-11 19:00:00,979,22.61,58053.82,-78.78,436.59,251.5,5.19,5.19,59.93,38.98,37856.9,Άγιος Βασίλης,Medium
9940,16990,16991.0,2025-10-11 20:00:00,979,22.56,58055.19,-78.18,417.98,241.81,5.21,5.21,60.05,38.98,37857.79,Άγιος Βασίλης,Medium
9946,16998,16999.0,2025-10-11 21:00:00,979,22.49,58145.14,-76.05,413.64,240.2,5.22,5.22,60.19,39.06,37916.45,Άγιος Βασίλης,Medium
9952,17006,17007.0,2025-10-11 22:00:00,979,22.56,58094.8,-78.08,403.6,233.89,5.23,5.23,60.35,39.02,37883.62,Άγιος Βασίλης,Medium
9958,17014,17015.0,2025-10-11 23:00:00,979,22.6,58064.69,-76.57,386.03,223.88,5.19,5.19,60.0,38.99,37863.98,Άγιος Βασίλης,Medium
9964,17022,17023.0,2025-10-12 00:00:00,979,22.39,57923.7,-77.03,367.04,214.16,5.15,5.15,59.27,38.88,37772.05,Άγιος Βασίλης,Medium
9970,17030,17031.0,2025-10-12 01:00:00,979,22.15,57838.59,-76.3,346.52,205.26,5.16,5.16,59.03,38.81,37716.54,Άγιος Βασίλης,Medium
9975,17038,17039.0,2025-10-12 02:00:00,979,22.06,57882.65,-75.24,327.49,192.63,5.11,5.11,58.29,38.84,37745.28,Άγιος Βασίλης,Medium
9980,17046,17047.0,2025-10-12 03:00:00,979,21.74,57789.99,-76.7,296.6,176.44,5.06,5.06,57.4,38.77,37684.86,Άγιος Βασίλης,Medium
9986,17054,17055.0,2025-10-12 04:00:00,979,21.23,57649.23,-73.66,271.43,162.05,5.14,5.14,57.59,38.65,37593.07,Άγιος Βασίλης,Medium
9991,17062,17063.0,2025-10-12 05:00:00,979,21.11,57565.63,-71.59,250.57,150.85,5.19,5.19,58.01,38.59,37538.55,Άγιος Βασίλης,Medium
9997,17070,17071.0,2025-10-12 06:00:00,979,21.15,57603.67,-71.96,239.45,142.95,5.22,5.22,58.15,38.62,37563.35,Άγιος Βασίλης,Medium
10003,17078,17079.0,2025-10-12 07:00:00,979,20.99,57652.4,-70.92,225.98,143.91,5.26,5.26,58.71,38.66,37595.13,Άγιος Βασίλης,Medium
10009,17086,17087.0,2025-10-12 08:00:00,979,21.15,57820.37,-68.9,217.87,141.78,5.45,5.45,60.98,38.79,37704.66,Άγιος Βασίλης,Medium
10015,17094,17095.0,2025-10-12 09:00:00,979,21.47,57813.31,-69.54,214.66,140.77,5.57,5.57,62.71,38.79,37700.06,Άγιος Βασίλης,Medium
10020,17102,17103.0,2025-10-12 10:00:00,979,21.74,57956.55,-70.04,200.98,132.51,5.62,5.62,63.76,38.9,37793.47,Άγιος Βασίλης,Medium
10026,17110,17111.0,2025-10-12 11:00:00,979,22.01,57872.32,-70.46,199.94,119.37,5.63,5.63,63.89,38.84,37738.54,Άγιος Βασίλης,Medium
10032,17118,17119.0,2025-10-12 12:00:00,979,22.28,57852.73,-71.75,196.84,117.32,5.6,5.6,64.2,38.82,37725.77,Άγιος Βασίλης,Medium
10037,17126,17127.0,2025-10-12 13:00:00,979,22.54,58013.11,-73.94,199.62,106.38,5.66,5.66,65.39,38.95,37830.35,Άγιος Βασίλης,Medium
10043,17134,17135.0,2025-10-12 14:00:00,979,22.68,57914.08,-74.66,193.25,102.07,5.69,5.69,65.93,38.87,37765.77,Άγιος Βασίλης,Medium
10048,17142,17143.0,2025-10-12 15:00:00,979,22.68,57968.29,-76.14,191.1,87.12,5.69,5.69,65.9,38.91,37801.12,Άγιος Βασίλης,Medium
10053,17150,17151.0,2025-10-12 16:00:00,979,22.66,57983.25,-75.23,184.09,106.22,5.71,5.71,66.07,38.92,37810.88,Άγιος Βασίλης,Medium
10057,17158,17159.0,2025-10-12 17:00:00,979,22.5,57902.45,-73.5,181.38,110.17,5.67,5.67,65.36,38.86,37758.19,Άγιος Βασίλης,Medium
10063,17166,17167.0,2025-10-12 18:00:00,979,22.24,57954.35,-79.45,171.96,111.19,5.43,5.43,62.22,38.9,37792.04,Άγιος Βασίλης,Medium
10069,17174,17175.0,2025-10-12 19:00:00,979,22.12,57980.6,-83.11,175.74,112.94,5.3,5.3,60.47,38.92,37809.15,Άγιος Βασίλης,Medium
10075,17182,17183.0,2025-10-12 20:00:00,979,22.18,58132.08,-83.3,185.98,120.97,5.25,5.25,60.08,39.05,37907.93,Άγιος Βασίλης,Medium
10081,17190,17191.0,2025-10-12 21:00:00,979,22.06,58082.06,-84.63,197.03,121.79,5.07,5.07,57.89,39.0,37875.32,Άγιος Βασίλης,Medium
10087,17198,17199.0,2025-10-12 22:00:00,979,22.01,58062.03,-83.74,198.42,122.38,5.11,5.11,58.23,38.99,37862.25,Άγιος Βασίλης,Medium
10093,17206,17207.0,2025-10-12 23:00:00,979,21.8,57916.71,-80.15,202.17,122.78,5.18,5.18,58.67,38.87,37767.49,Άγιος Βασίλης,Medium
10099,17214,17215.0,2025-10-13 00:00:00,979,21.65,57912.42,-79.66,201.31,121.8,5.18,5.18,58.67,38.87,37764.69,Άγιος Βασίλης,Medium
10105,17222,17223.0,2025-10-13 01:00:00,979,21.66,57959.82,-78.69,201.76,119.98,5.24,5.24,59.15,38.91,37795.6,Άγιος Βασίλης,Medium
10111,17230,17231.0,2025-10-13 02:00:00,979,21.69,57892.36,-78.24,201.13,119.51,5.27,5.27,59.55,38.85,37751.61,Άγιος Βασίλης,Medium
10117,17238,17239.0,2025-10-13 03:00:00,979,21.47,57803.17,-76.85,193.94,118.93,5.28,5.28,59.4,38.78,37693.45,Άγιος Βασίλης,Medium
10123,17246,17247.0,2025-10-13 04:00:00,979,21.54,57887.81,-77.29,196.43,120.71,5.3,5.3,59.62,38.85,37748.64,Άγιος Βασίλης,Medium
10129,17254,17255.0,2025-10-13 05:00:00,979,21.51,57913.55,-78.48,202.72,119.14,5.23,5.23,59.01,38.87,37765.43,Άγιος Βασίλης,Medium
10135,17262,17263.0,2025-10-13 06:00:00,979,21.36,57806.18,-77.58,196.19,117.47,5.21,5.21,58.58,38.78,37695.41,Άγιος Βασίλης,Medium
10141,17278,17279.0,2025-10-13 08:00:00,979,21.3,57679.21,-71.08,204.85,121.91,5.32,5.32,59.56,38.68,37612.62,Άγιος Βασίλης,Medium
10143,17286,17287.0,2025-10-13 09:00:00,979,21.58,57753.12,-69.96,209.67,123.12,5.58,5.58,62.69,38.74,37660.81,Άγιος Βασίλης,Medium
10151,17305,17306.0,2025-10-13 12:00:00,979,22.06,57863.52,-69.97,188.94,112.89,5.81,5.81,66.43,38.83,37732.8,Άγιος Βασίλης,Medium
10158,17332,17333.0,2025-10-13 17:00:00,979,22.22,58019.64,-72.05,236.06,135.73,5.54,5.54,63.48,38.95,37834.61,Άγιος Βασίλης,Medium
10160,17336,17337.0,2025-10-13 18:00:00,979,22.17,58104.02,-73.87,253.88,144.64,5.38,5.38,61.58,39.02,37889.63,Άγιος Βασίλης,Medium
10161,17340,17341.0,2025-10-13 19:00:00,979,22.12,58100.63,-85.13,278.13,160.08,5.29,5.29,60.49,39.02,37887.42,Άγιος Βασίλης,Medium
10162,17344,17345.0,2025-10-13 20:00:00,979,22.13,58011.82,-85.62,295.31,170.57,5.16,5.16,59.03,38.95,37829.51,Άγιος Βασίλης,Medium
10163,17348,17349.0,2025-10-13 21:00:00,979,22.13,58138.77,-90.34,292.01,169.93,5.22,5.22,59.76,39.05,37912.29,Άγιος Βασίλης,Medium
10178,17405,17406.0,2025-10-14 14:00:00,979,22.34,57930.91,-74.7,256.59,161.59,6.08,6.08,69.72,38.88,37776.75,Άγιος Βασίλης,Medium
10187,17435,17436.0,2025-10-14 18:00:00,979,22.08,58094.45,-81.98,283.13,172.87,5.55,5.55,63.46,39.01,37883.39,Άγιος Βασίλης,Medium
10191,17462,17463.0,2025-10-14 23:00:00,979,21.44,57916.18,-78.48,287.05,176.93,5.11,5.11,57.49,38.87,37767.14,Άγιος Βασίλης,Medium
10193,17466,17467.0,2025-10-15 00:00:00,979,21.44,57878.77,-79.27,285.01,170.83,5.07,5.07,57.02,38.84,37742.75,Άγιος Βασίλης,Medium
10195,17479,17480.0,2025-10-15 05:00:00,979,21.78,57762.06,-77.95,267.91,154.51,5.28,5.28,59.98,38.75,37666.64,Άγιος Βασίλης,Medium
10196,17481,17482.0,2025-10-15 06:00:00,979,21.47,57920.45,-75.8,266.82,157.13,5.28,5.28,59.54,38.87,37769.93,Άγιος Βασίλης,Medium
10198,17485,17486.0,2025-10-15 08:00:00,979,21.29,57948.2,-74.02,252.54,151.48,5.32,5.32,59.9,38.9,37788.02,Άγιος Βασίλης,Medium
10199,17487,17488.0,2025-10-15 10:00:00,979,21.73,57844.08,-71.49,247.01,149.41,5.77,5.77,65.39,38.81,37720.13,Άγιος Βασίλης,Medium
10200,17488,17489.0,2025-10-15 11:00:00,979,21.96,57894.69,-70.04,247.32,149.36,5.82,5.82,66.28,38.85,37753.13,Άγιος Βασίλης,Medium
10201,17489,17490.0,2025-10-15 12:00:00,979,22.19,57839.86,-70.65,248.76,150.96,5.83,5.83,66.83,38.81,37717.38,Άγιος Βασίλης,Medium
10202,17490,17491.0,2025-10-15 13:00:00,979,22.29,58029.94,-70.3,247.55,149.99,5.91,5.91,67.83,38.96,37841.33,Άγιος Βασίλης,Medium
10203,17491,17492.0,2025-10-15 14:00:00,979,22.33,58092.95,-70.52,291.46,151.26,5.94,5.94,68.22,39.01,37882.42,Άγιος Βασίλης,Medium
10204,17492,17493.0,2025-10-15 15:00:00,979,22.27,58115.09,-70.88,288.23,150.25,5.84,5.84,67.03,39.03,37896.85,Άγιος Βασίλης,Medium
10205,17493,17494.0,2025-10-15 16:00:00,979,22.39,58129.21,-69.57,280.73,148.15,5.99,5.99,68.89,39.04,37906.06,Άγιος Βασίλης,Medium
10206,17494,17495.0,2025-10-15 17:00:00,979,22.26,58102.88,-68.62,275.91,143.07,5.73,5.73,65.71,39.02,37888.89,Άγιος Βασίλης,Medium
10207,17496,17497.0,2025-10-15 19:00:00,979,22.0,58251.55,-77.67,224.21,137.23,5.29,5.29,60.35,39.14,37985.84,Άγιος Βασίλης,Medium
10209,17501,17502.0,2025-10-23 11:00:00,979,20.98,57874.0,21.47,557.64,327.74,5.84,5.84,65.11,38.84,37739.64,Άγιος Βασίλης,Medium
10215,17508,17509.0,2025-10-23 12:00:00,979,21.04,57869.36,26.01,560.58,327.91,6.37,6.37,71.02,38.83,37736.61,Άγιος Βασίλης,Danger
10221,17515,17516.0,2025-10-23 13:00:00,979,20.98,58012.7,27.46,597.62,347.05,6.32,6.32,70.48,38.95,37830.08,Άγιος Βασίλης,Danger
10227,17522,17523.0,2025-10-23 14:00:00,979,20.91,58152.59,27.69,617.74,356.23,6.68,6.68,74.39,39.06,37921.31,Άγιος Βασίλης,Danger
10233,17529,17530.0,2025-10-23 15:00:00,979,20.89,58096.06,12.14,637.23,365.78,5.55,5.55,61.75,39.02,37884.44,Άγιος Βασίλης,Danger
10239,17536,17537.0,2025-10-23 16:00:00,979,20.82,58030.25,7.04,629.98,362.19,5.45,5.45,60.5,38.96,37841.53,Άγιος Βασίλης,Danger
10245,17543,17544.0,2025-10-23 17:00:00,979,20.82,58085.82,3.87,629.5,369.04,5.4,5.4,59.93,39.01,37877.77,Άγιος Βασίλης,Danger
10251,17550,17551.0,2025-10-23 18:00:00,979,20.71,58094.41,1.2,629.56,370.31,5.38,5.38,59.77,39.01,37883.37,Άγιος Βασίλης,Danger
10257,17557,17558.0,2025-10-23 19:00:00,979,20.61,58028.8,0.29,619.2,363.03,5.32,5.32,59.02,38.96,37840.58,Άγιος Βασίλης,Danger
10263,17564,17565.0,2025-10-23 20:00:00,979,20.59,58119.43,-0.99,611.71,360.69,5.28,5.28,58.56,39.04,37899.68,Άγιος Βασίλης,Danger
10269,17571,17572.0,2025-10-23 21:00:00,979,20.66,58008.88,-1.67,627.12,369.16,5.36,5.36,59.53,38.95,37827.59,Άγιος Βασίλης,Danger
10275,17578,17579.0,2025-10-23 22:00:00,979,20.66,57955.94,-3.1,645.36,376.59,5.31,5.31,58.94,38.9,37793.07,Άγιος Βασίλης,Danger
10281,17585,17586.0,2025-10-23 23:00:00,979,20.67,58049.55,-3.33,644.92,378.81,5.31,5.31,58.96,38.98,37854.11,Άγιος Βασίλης,Danger
10287,17592,17593.0,2025-10-24 00:00:00,979,20.67,57981.24,-4.45,671.82,394.25,5.28,5.28,58.59,38.92,37809.57,Άγιος Βασίλης,Danger
10293,17599,17600.0,2025-10-24 01:00:00,979,20.67,57915.07,-4.1,700.84,412.55,5.25,5.25,58.33,38.87,37766.42,Άγιος Βασίλης,Danger
10299,17606,17607.0,2025-10-24 02:00:00,979,20.7,58010.97,-5.88,712.93,419.32,5.27,5.27,58.55,38.95,37828.95,Άγιος Βασίλης,Danger
10305,17613,17614.0,2025-10-24 03:00:00,979,20.7,58030.75,-7.13,724.91,422.46,5.21,5.21,57.9,38.96,37841.86,Άγιος Βασίλης,Danger
10311,17620,17621.0,2025-10-24 04:00:00,979,20.71,57864.15,-7.32,741.43,432.81,5.24,5.24,58.14,38.83,37733.21,Άγιος Βασίλης,Danger
10317,17627,17628.0,2025-10-24 05:00:00,979,20.69,58067.68,-6.26,741.41,435.42,5.41,5.41,60.06,38.99,37865.93,Άγιος Βασίλης,Danger
10323,17634,17635.0,2025-10-24 06:00:00,979,20.65,57710.49,-5.01,707.96,416.5,5.41,5.41,60.03,38.7,37633.01,Άγιος Βασίλης,Danger
10329,17641,17642.0,2025-10-24 07:00:00,979,20.76,58003.78,-5.4,651.92,385.52,5.35,5.35,59.36,38.94,37824.27,Άγιος Βασίλης,Danger
10335,17648,17649.0,2025-10-24 08:00:00,979,20.87,58010.0,-2.04,606.66,361.68,5.52,5.52,61.39,38.95,37828.32,Άγιος Βασίλης,Danger
10341,17655,17656.0,2025-10-24 09:00:00,979,20.91,58032.13,-1.1,547.43,328.16,5.58,5.58,62.06,38.96,37842.75,Άγιος Βασίλης,Medium
10347,17662,17663.0,2025-10-24 10:00:00,979,20.98,58005.77,7.27,494.13,293.46,5.74,5.74,64.04,38.94,37825.57,Άγιος Βασίλης,Medium
10353,17669,17670.0,2025-10-24 11:00:00,979,21.05,57948.94,10.33,520.37,293.32,5.98,5.98,66.64,38.9,37788.51,Άγιος Βασίλης,Medium
10359,17676,17677.0,2025-10-24 12:00:00,979,21.17,57974.32,5.8,524.55,295.66,5.95,5.95,66.64,38.92,37805.06,Άγιος Βασίλης,Medium
10365,17683,17684.0,2025-10-24 13:00:00,979,21.4,57941.7,7.79,523.15,294.35,6.27,6.27,70.54,38.89,37783.79,Άγιος Βασίλης,Medium
10371,17690,17691.0,2025-10-24 14:00:00,979,21.26,58014.84,9.24,515.59,288.73,6.58,6.58,73.79,38.95,37831.48,Άγιος Βασίλης,Medium
10377,17697,17698.0,2025-10-24 15:00:00,979,21.15,58073.46,9.17,508.36,286.13,6.35,6.35,71.02,39.0,37869.71,Άγιος Βασίλης,Medium
10382,17704,17705.0,2025-10-24 16:00:00,979,21.14,57960.98,9.13,509.77,280.25,6.38,6.38,71.39,38.91,37796.36,Άγιος Βασίλης,Medium
10387,17711,17712.0,2025-10-24 17:00:00,979,21.02,57943.24,9.79,477.85,270.38,5.83,5.83,64.99,38.89,37784.79,Άγιος Βασίλης,Medium
10393,17718,17719.0,2025-10-24 18:00:00,979,20.94,57993.45,0.94,473.32,268.24,5.44,5.44,60.53,38.93,37817.53,Άγιος Βασίλης,Medium
10399,17725,17726.0,2025-10-24 19:00:00,979,20.89,57956.84,-0.73,474.91,270.13,5.4,5.4,60.14,38.9,37793.65,Άγιος Βασίλης,Medium
10405,17732,17733.0,2025-10-24 20:00:00,979,20.84,57974.94,-0.26,481.54,268.14,5.42,5.42,60.17,38.92,37805.46,Άγιος Βασίλης,Medium
10411,17739,17740.0,2025-10-24 21:00:00,979,20.84,58057.3,-0.77,444.37,254.37,5.37,5.37,59.7,38.98,37859.16,Άγιος Βασίλης,Medium
10417,17746,17747.0,2025-10-24 22:00:00,979,20.86,58075.35,-1.44,461.31,259.83,5.34,5.34,59.35,39.0,37870.94,Άγιος Βασίλης,Medium
10423,17753,17754.0,2025-10-24 23:00:00,979,20.86,58072.55,-2.33,460.59,261.8,5.27,5.27,58.62,39.0,37869.11,Άγιος Βασίλης,Medium
10429,17760,17761.0,2025-10-25 00:00:00,979,20.84,58026.32,-1.41,468.76,266.0,5.33,5.33,59.24,38.96,37838.96,Άγιος Βασίλης,Medium
10435,17767,17768.0,2025-10-25 01:00:00,979,20.82,58036.68,-1.67,487.76,285.49,5.24,5.24,58.19,38.97,37845.72,Άγιος Βασίλης,Medium
10441,17774,17775.0,2025-10-25 02:00:00,979,20.82,57984.16,-1.41,502.11,294.1,5.27,5.27,58.54,38.93,37811.47,Άγιος Βασίλης,Medium
10447,17781,17782.0,2025-10-25 03:00:00,979,20.81,58011.93,-1.34,501.02,298.63,5.24,5.24,58.2,38.95,37829.58,Άγιος Βασίλης,Medium
10453,17788,17789.0,2025-10-25 04:00:00,979,20.81,58052.18,-4.14,505.96,297.88,5.09,5.09,56.52,38.98,37855.83,Άγιος Βασίλης,Medium
10459,17795,17796.0,2025-10-25 05:00:00,979,20.77,57934.17,-2.57,544.9,320.15,5.13,5.13,56.99,38.89,37778.88,Άγιος Βασίλης,Medium
10465,17802,17803.0,2025-10-25 06:00:00,979,20.75,58002.04,-2.57,537.03,312.78,5.25,5.25,58.32,38.94,37823.13,Άγιος Βασίλης,Medium
10471,17809,17810.0,2025-10-25 07:00:00,979,20.76,57908.91,-3.67,525.87,306.61,5.15,5.15,57.22,38.86,37762.4,Άγιος Βασίλης,Medium
10477,17816,17817.0,2025-10-25 08:00:00,979,21.0,57979.77,3.06,527.74,308.15,5.48,5.48,61.13,38.92,37808.61,Άγιος Βασίλης,Medium
10483,17823,17824.0,2025-10-25 09:00:00,979,21.1,58037.34,6.47,517.79,301.22,5.6,5.6,62.59,38.97,37846.15,Άγιος Βασίλης,Medium
10489,17830,17831.0,2025-10-25 10:00:00,979,21.18,57936.43,9.28,479.5,279.38,5.72,5.72,64.09,38.89,37780.35,Άγιος Βασίλης,Medium
10495,17837,17838.0,2025-10-25 11:00:00,979,21.41,57858.1,8.12,465.55,273.17,5.86,5.86,65.76,38.82,37729.27,Άγιος Βασίλης,Medium
10501,17844,17845.0,2025-10-25 12:00:00,979,21.32,57884.83,11.66,464.56,273.17,5.93,5.93,66.65,38.85,37746.7,Άγιος Βασίλης,Medium
10507,17851,17852.0,2025-10-25 13:00:00,979,21.61,57873.06,12.99,473.76,277.95,7.06,7.06,79.94,38.84,37739.02,Άγιος Βασίλης,Medium
10513,17858,17859.0,2025-10-25 14:00:00,979,21.74,57744.18,11.68,510.37,299.04,6.93,6.93,78.68,38.73,37654.98,Άγιος Βασίλης,Medium
10519,17865,17866.0,2025-10-25 15:00:00,979,21.63,57893.12,11.39,519.98,302.98,6.78,6.78,76.76,38.85,37752.1,Άγιος Βασίλης,Medium
10525,17872,17873.0,2025-10-25 16:00:00,979,21.68,57810.22,13.58,551.91,320.55,6.6,6.6,74.8,38.79,37698.05,Άγιος Βασίλης,Medium
10531,17879,17880.0,2025-10-25 17:00:00,979,21.57,57761.16,14.49,557.0,326.64,6.04,6.04,68.31,38.75,37666.05,Άγιος Βασίλης,Medium
10537,17886,17887.0,2025-10-25 18:00:00,979,21.21,57880.53,8.92,566.82,327.31,5.39,5.39,60.45,38.84,37743.89,Άγιος Βασίλης,Medium
10543,17893,17894.0,2025-10-25 19:00:00,979,21.12,57983.28,7.24,560.07,320.69,5.38,5.38,60.2,38.92,37810.9,Άγιος Βασίλης,Medium
10549,17900,17901.0,2025-10-25 20:00:00,979,21.15,58019.36,7.57,551.14,317.62,5.38,5.38,60.16,38.95,37834.42,Άγιος Βασίλης,Medium
10555,17907,17908.0,2025-10-25 21:00:00,979,21.15,57899.27,7.11,546.77,315.64,5.32,5.32,59.51,38.86,37756.11,Άγιος Βασίλης,Medium
10561,17914,17915.0,2025-10-25 22:00:00,979,21.18,57855.64,7.01,536.64,307.06,5.26,5.26,58.9,38.82,37727.66,Άγιος Βασίλης,Medium
10567,17921,17922.0,2025-10-25 23:00:00,979,21.18,57849.29,6.96,530.01,303.58,5.15,5.15,57.65,38.82,37723.52,Άγιος Βασίλης,Medium
10573,17928,17929.0,2025-10-26 00:00:00,979,21.13,57853.47,7.06,518.32,305.34,5.09,5.09,56.91,38.82,37726.25,Άγιος Βασίλης,Medium
10579,17935,17936.0,2025-10-26 01:00:00,979,21.13,57910.12,7.47,529.0,309.78,5.06,5.06,56.62,38.87,37763.19,Άγιος Βασίλης,Medium
10585,17942,17943.0,2025-10-26 02:00:00,979,21.11,57869.12,8.39,534.84,313.34,5.04,5.04,56.4,38.83,37736.45,Άγιος Βασίλης,Medium
10591,17949,17950.0,2025-10-26 03:00:00,979,21.09,57778.08,9.94,533.63,311.91,5.15,5.15,57.49,38.76,37677.09,Άγιος Βασίλης,Medium
10597,17956,17957.0,2025-10-26 04:00:00,979,20.92,57870.91,12.57,534.64,310.18,5.19,5.19,57.7,38.83,37737.63,Άγιος Βασίλης,Medium
10603,17963,17964.0,2025-10-26 05:00:00,979,20.93,57819.51,12.88,528.48,308.73,5.23,5.23,58.21,38.79,37704.11,Άγιος Βασίλης,Medium
10609,17970,17971.0,2025-10-26 06:00:00,979,21.08,57856.12,12.63,525.48,302.96,5.36,5.36,59.86,38.82,37727.98,Άγιος Βασίλης,Medium
10615,17977,17978.0,2025-10-26 07:00:00,979,21.1,57840.46,16.15,528.69,306.63,5.48,5.48,61.29,38.81,37717.76,Άγιος Βασίλης,Medium
10621,17984,17985.0,2025-10-26 08:00:00,979,21.27,57814.75,20.75,523.8,305.14,5.65,5.65,63.48,38.79,37701.0,Άγιος Βασίλης,Medium
10627,17991,17992.0,2025-10-26 09:00:00,979,21.35,57764.91,21.62,517.26,305.59,5.73,5.73,64.44,38.75,37668.5,Άγιος Βασίλης,Medium
10633,17998,17999.0,2025-10-26 10:00:00,979,21.4,57731.34,28.83,516.65,310.13,5.93,5.93,66.77,38.72,37646.61,Άγιος Βασίλης,Medium
10639,18005,18006.0,2025-10-26 11:00:00,979,21.48,57845.62,28.87,536.0,324.29,6.05,6.05,68.18,38.81,37721.13,Άγιος Βασίλης,Danger
10645,18012,18013.0,2025-10-26 12:00:00,979,21.46,57285.88,23.95,576.7,338.12,5.81,5.81,65.45,38.36,37356.13,Άγιος Βασίλης,Danger
10651,18019,18020.0,2025-10-26 13:00:00,979,21.37,57878.11,20.91,613.29,362.64,5.73,5.73,64.42,38.84,37742.31,Άγιος Βασίλης,Danger
10657,18026,18027.0,2025-10-26 14:00:00,979,21.35,57771.25,20.0,641.57,374.43,5.69,5.69,63.94,38.75,37672.63,Άγιος Βασίλης,Danger
10663,18033,18034.0,2025-10-26 15:00:00,979,21.36,57648.79,22.88,677.09,404.12,5.85,5.85,65.82,38.65,37592.77,Άγιος Βασίλης,Danger
10669,18040,18041.0,2025-10-26 16:00:00,979,21.38,57844.67,21.67,687.99,412.77,5.75,5.75,64.75,38.81,37720.51,Άγιος Βασίλης,Danger
10675,18047,18048.0,2025-10-26 17:00:00,979,21.31,57932.57,17.8,695.27,434.3,5.47,5.47,61.42,38.88,37777.83,Άγιος Βασίλης,Danger
10681,18054,18055.0,2025-10-26 18:00:00,979,21.19,57926.36,17.24,698.11,428.05,5.36,5.36,59.97,38.88,37773.78,Άγιος Βασίλης,Danger
10686,18061,18062.0,2025-10-26 19:00:00,979,21.15,57889.99,17.62,702.89,433.53,5.35,5.35,59.89,38.85,37750.06,Άγιος Βασίλης,Danger
10692,18068,18069.0,2025-10-26 20:00:00,979,21.2,57869.29,16.82,692.78,428.73,5.31,5.31,59.45,38.83,37736.57,Άγιος Βασίλης,Danger
10698,18075,18076.0,2025-10-26 21:00:00,979,21.22,57911.02,16.55,673.83,413.62,5.29,5.29,59.28,38.87,37763.77,Άγιος Βασίλης,Danger
